,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
209029,555156,23299,FOOD COVER WITH BEADS SET 2 ,6,2011-06-01 07:37:00,3.75,15643.0,United Kingdom
209030,555156,22847,BREAD BIN DINER STYLE IVORY,1,2011-06-01 07:37:00,16.95,15643.0,United Kingdom
209031,555157,23075,PARLOUR CERAMIC WALL HOOK,16,2011-06-01 07:38:00,4.15,15643.0,United Kingdom
209032,555157,47590B,PINK HAPPY BIRTHDAY BUNTING,6,2011-06-01 07:38:00,5.45,15643.0,United Kingdom
209033,555157,22423,REGENCY CAKESTAND 3 TIER,4,2011-06-01 07:38:00,12.75,15643.0,United Kingdom
209034,555157,47590A,BLUE HAPPY BIRTHDAY BUNTING,6,2011-06-01 07:38:00,5.45,15643.0,United Kingdom
209035,555157,22849,BREAD BIN DINER STYLE MINT,1,2011-06-01 07:38:00,16.95,15643.0,United Kingdom
209036,555157,47566,PARTY BUNTING,8,2011-06-01 07:38:00,4.95,15643.0,United Kingdom
209037,555157,82580,BATHROOM METAL SIGN,12,2011-06-01 07:38:00,0.55,15643.0,United Kingdom
209038,555157,23169,CLASSIC GLASS COOKIE JAR,10,2011-06-01 07:38:00,4.15,15643.0,United Kingdom
209039,555158,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2011-06-01 08:38:00,1.95,14842.0,United Kingdom
209040,555158,22179,SET 10 NIGHT OWL LIGHTS,4,2011-06-01 08:38:00,6.75,14842.0,United Kingdom
209041,555158,23082,SET 6 PAPER TABLE LANTERN HEARTS ,6,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
209042,555158,23083,SET 6 PAPER TABLE LANTERN STARS ,6,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
209043,555158,22468,BABUSHKA LIGHTS STRING OF 10,4,2011-06-01 08:38:00,6.75,14842.0,United Kingdom
209044,555158,22084,PAPER CHAIN KIT EMPIRE,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
209045,555158,22083,PAPER CHAIN KIT RETROSPOT,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
209046,555158,23108,SET OF 10 LED DOLLY LIGHTS,12,2011-06-01 08:38:00,5.39,14842.0,United Kingdom
209047,555158,20749,ASSORTED COLOUR MINI CASES,2,2011-06-01 08:38:00,7.95,14842.0,United Kingdom
209048,555158,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-06-01 08:38:00,4.95,14842.0,United Kingdom
209049,555158,22492,MINI PAINT SET VINTAGE ,36,2011-06-01 08:38:00,0.65,14842.0,United Kingdom
209050,555158,22570,FELTCRAFT CUSHION RABBIT,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
209051,555158,22568,FELTCRAFT CUSHION OWL,4,2011-06-01 08:38:00,3.75,14842.0,United Kingdom
209052,555158,22274,FELTCRAFT DOLL EMILY,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
209053,555158,22273,FELTCRAFT DOLL MOLLY,6,2011-06-01 08:38:00,2.95,14842.0,United Kingdom
