,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
142083,548550,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-04-01 08:22:00,1.65,18161.0,United Kingdom
142084,548550,22296,HEART IVORY TRELLIS LARGE,12,2011-04-01 08:22:00,1.65,18161.0,United Kingdom
142085,548550,21790,VINTAGE SNAP CARDS,12,2011-04-01 08:22:00,0.85,18161.0,United Kingdom
142086,548550,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2011-04-01 08:22:00,9.95,18161.0,United Kingdom
142087,548550,22393,PAPERWEIGHT VINTAGE COLLAGE,6,2011-04-01 08:22:00,2.55,18161.0,United Kingdom
142088,548550,85061W,WHITE JEWELLED HEART DECORATION,24,2011-04-01 08:22:00,0.85,18161.0,United Kingdom
142089,548550,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-04-01 08:22:00,4.95,18161.0,United Kingdom
142090,548550,22423,REGENCY CAKESTAND 3 TIER,3,2011-04-01 08:22:00,12.75,18161.0,United Kingdom
142091,548550,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-04-01 08:22:00,2.95,18161.0,United Kingdom
142092,548550,21794,CLASSIC FRENCH STYLE BASKET NATURAL,2,2011-04-01 08:22:00,6.75,18161.0,United Kingdom
142093,548550,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-04-01 08:22:00,1.69,18161.0,United Kingdom
142094,548550,20728,LUNCH BAG CARS BLUE,10,2011-04-01 08:22:00,1.65,18161.0,United Kingdom
142095,548551,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2011-04-01 08:56:00,9.95,14886.0,United Kingdom
142096,548551,22623,BOX OF VINTAGE JIGSAW BLOCKS ,6,2011-04-01 08:56:00,4.95,14886.0,United Kingdom
142097,548551,22561,WOODEN SCHOOL COLOURING SET,12,2011-04-01 08:56:00,1.65,14886.0,United Kingdom
142098,548551,20726,LUNCH BAG WOODLAND,10,2011-04-01 08:56:00,1.65,14886.0,United Kingdom
142099,548551,20728,LUNCH BAG CARS BLUE,10,2011-04-01 08:56:00,1.65,14886.0,United Kingdom
142100,548551,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2011-04-01 08:56:00,1.65,14886.0,United Kingdom
142101,548551,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-04-01 08:56:00,1.65,14886.0,United Kingdom
142102,548551,23127,DOLLCRAFT GIRL NICOLE,4,2011-04-01 08:56:00,4.95,14886.0,United Kingdom
142103,548551,23126,DOLLCRAFT GIRL AMELIE,4,2011-04-01 08:56:00,4.95,14886.0,United Kingdom
142104,548551,22961,JAM MAKING SET PRINTED,12,2011-04-01 08:56:00,1.45,14886.0,United Kingdom
142105,548551,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-04-01 08:56:00,3.95,14886.0,United Kingdom
142106,548551,22904,CALENDAR PAPER CUT DESIGN,6,2011-04-01 08:56:00,2.95,14886.0,United Kingdom
142107,548551,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-04-01 08:56:00,2.95,14886.0,United Kingdom
142108,548551,22287,"DECORATION , WOBBLY CHICKEN, METAL ",12,2011-04-01 08:56:00,1.65,14886.0,United Kingdom
142109,548551,22286,"DECORATION , WOBBLY RABBIT , METAL ",12,2011-04-01 08:56:00,1.65,14886.0,United Kingdom
142110,548551,22291,HANGING CHICK CREAM DECORATION,24,2011-04-01 08:56:00,1.45,14886.0,United Kingdom
142111,548551,22267,EASTER DECORATION EGG BUNNY ,12,2011-04-01 08:56:00,1.25,14886.0,United Kingdom
142112,548551,22281,EASTER TREE YELLOW BIRDS,2,2011-04-01 08:56:00,5.95,14886.0,United Kingdom
142113,548552,22607,WOODEN ROUNDERS GARDEN SET ,8,2011-04-01 09:06:00,8.5,17613.0,United Kingdom
142114,548552,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-04-01 09:06:00,2.95,17613.0,United Kingdom
142115,548552,21931,JUMBO STORAGE BAG SUKI,10,2011-04-01 09:06:00,1.95,17613.0,United Kingdom
142116,548552,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-04-01 09:06:00,1.95,17613.0,United Kingdom
142117,548552,21714,CITRONELLA CANDLE GARDEN POT,12,2011-04-01 09:06:00,1.25,17613.0,United Kingdom
142118,548552,21936,RED RETROSPOT PICNIC BAG,5,2011-04-01 09:06:00,2.95,17613.0,United Kingdom
142119,548552,22224,WHITE LOVEBIRD LANTERN,6,2011-04-01 09:06:00,2.95,17613.0,United Kingdom
142120,548552,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,4,2011-04-01 09:06:00,4.25,17613.0,United Kingdom
142121,548552,48194,DOORMAT HEARTS,2,2011-04-01 09:06:00,7.95,17613.0,United Kingdom
142122,548552,22168,ORGANISER WOOD ANTIQUE WHITE ,2,2011-04-01 09:06:00,8.5,17613.0,United Kingdom
142123,548553,21472,LADYBIRD + BEE RAFFIA FOOD COVER,6,2011-04-01 09:19:00,3.75,12523.0,France
142124,548553,22262,FELT EGG COSY CHICKEN,12,2011-04-01 09:19:00,0.85,12523.0,France
142125,548553,23231,WRAP DOILEY DESIGN,25,2011-04-01 09:19:00,0.42,12523.0,France
142126,548553,21844,RED RETROSPOT MUG,6,2011-04-01 09:19:00,2.95,12523.0,France
142127,548553,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,6,2011-04-01 09:19:00,2.95,12523.0,France
142128,548553,21533,RETROSPOT LARGE MILK JUG,3,2011-04-01 09:19:00,4.95,12523.0,France
142129,548553,21535,RED RETROSPOT SMALL MILK JUG,6,2011-04-01 09:19:00,2.55,12523.0,France
142130,548553,22285,HANGING HEN ON NEST DECORATION,12,2011-04-01 09:19:00,1.65,12523.0,France
142131,548553,35911A,MULTICOLOUR RABBIT EGG WARMER,12,2011-04-01 09:19:00,0.85,12523.0,France
142132,548554,21043,APRON MODERN VINTAGE COTTON,60,2011-04-01 09:19:00,1.95,13694.0,United Kingdom
142133,548554,21096,SET/6 FRUIT SALAD  PAPER PLATES,192,2011-04-01 09:19:00,0.39,13694.0,United Kingdom
142134,548554,21287,SCENTED VELVET LOUNGE CANDLE ,288,2011-04-01 09:19:00,0.38,13694.0,United Kingdom
142135,548554,21319,GLASS CHALICE GREEN  SMALL ,72,2011-04-01 09:19:00,0.39,13694.0,United Kingdom
142136,548554,21318,GLASS CHALICE BLUE SMALL ,72,2011-04-01 09:19:00,0.39,13694.0,United Kingdom
142137,548554,21654,RIDGED GLASS FINGER BOWL,144,2011-04-01 09:19:00,0.39,13694.0,United Kingdom
142138,548554,22060,LARGE CAKE STAND HANGING HEARTS,24,2011-04-01 09:19:00,3.95,13694.0,United Kingdom
142139,548554,79030D,"TUMBLER, BAROQUE",24,2011-04-01 09:19:00,0.39,13694.0,United Kingdom
142140,548554,79030G,"TUMBLER, NEW ENGLAND",24,2011-04-01 09:19:00,0.39,13694.0,United Kingdom
142141,548554,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,144,2011-04-01 09:19:00,0.42,13694.0,United Kingdom
142142,548554,84596F,SMALL MARSHMALLOWS PINK BOWL,72,2011-04-01 09:19:00,0.42,13694.0,United Kingdom
142143,548554,84596G,SMALL CHOCOLATES PINK BOWL,72,2011-04-01 09:19:00,0.42,13694.0,United Kingdom
142144,548554,84596J,MIXED NUTS LIGHT GREEN BOWL,72,2011-04-01 09:19:00,0.42,13694.0,United Kingdom
142145,548554,84596L,BISCUITS SMALL BOWL LIGHT BLUE,72,2011-04-01 09:19:00,0.42,13694.0,United Kingdom
142146,548554,85132A,CHARLIE + LOLA BISCUITS TINS,48,2011-04-01 09:19:00,1.95,13694.0,United Kingdom
142147,548554,85132B,CHARLIE AND LOLA TABLE TINS,12,2011-04-01 09:19:00,1.95,13694.0,United Kingdom
142148,548554,85132C,CHARLIE AND LOLA FIGURES TINS,12,2011-04-01 09:19:00,1.95,13694.0,United Kingdom
142149,548554,85144,JARDIN ETCHED GLASS CHEESE DISH,12,2011-04-01 09:19:00,1.95,13694.0,United Kingdom
142150,548554,85145,JARDIN ETCHED GLASS LARGE BELL JAR,4,2011-04-01 09:19:00,3.95,13694.0,United Kingdom
142151,548555,22148,EASTER CRAFT 4 CHICKS ,12,2011-04-01 09:21:00,1.95,13758.0,United Kingdom
142152,548555,22281,EASTER TREE YELLOW BIRDS,2,2011-04-01 09:21:00,5.95,13758.0,United Kingdom
142153,548555,20725,LUNCH BAG RED RETROSPOT,10,2011-04-01 09:21:00,1.65,13758.0,United Kingdom
142154,548555,20728,LUNCH BAG CARS BLUE,10,2011-04-01 09:21:00,1.65,13758.0,United Kingdom
142155,548555,22383,LUNCH BAG SUKI DESIGN ,10,2011-04-01 09:21:00,1.65,13758.0,United Kingdom
142156,548555,22384,LUNCH BAG PINK POLKADOT,10,2011-04-01 09:21:00,1.65,13758.0,United Kingdom
142157,548555,22088,PAPER BUNTING COLOURED LACE,12,2011-04-01 09:21:00,2.95,13758.0,United Kingdom
142158,548555,22090,PAPER BUNTING RETROSPOT,12,2011-04-01 09:21:00,2.95,13758.0,United Kingdom
142159,548555,21735,TWO DOOR CURIO CABINET,2,2011-04-01 09:21:00,12.75,13758.0,United Kingdom
142160,548555,85066,CREAM SWEETHEART MINI CHEST,2,2011-04-01 09:21:00,12.75,13758.0,United Kingdom
142161,548555,22168,ORGANISER WOOD ANTIQUE WHITE ,2,2011-04-01 09:21:00,8.5,13758.0,United Kingdom
142162,548555,22979,PANTRY WASHING UP BRUSH,12,2011-04-01 09:21:00,1.45,13758.0,United Kingdom
142163,548555,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-04-01 09:21:00,4.95,13758.0,United Kingdom
142164,548555,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-04-01 09:21:00,4.95,13758.0,United Kingdom
142165,548555,22784,LANTERN CREAM GAZEBO ,6,2011-04-01 09:21:00,4.95,13758.0,United Kingdom
142166,548556,84313B,BLUE TV TRAY TABLE ,26,2011-04-01 09:25:00,1.95,13694.0,United Kingdom
142167,548556,84313C,ORANGE TV TRAY TABLE ,96,2011-04-01 09:25:00,1.95,13694.0,United Kingdom
142168,548557,85179A,GREEN BITTY LIGHT CHAIN,3,2011-04-01 09:56:00,4.65,15018.0,United Kingdom
142169,548557,20829,GLITTER HANGING BUTTERFLY STRING,8,2011-04-01 09:56:00,2.1,15018.0,United Kingdom
142170,548557,21534,DAIRY MAID LARGE MILK JUG,3,2011-04-01 09:56:00,4.95,15018.0,United Kingdom
142171,548557,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,1,2011-04-01 09:56:00,12.75,15018.0,United Kingdom
142172,548557,84968A,SET OF 16 VINTAGE ROSE CUTLERY,1,2011-04-01 09:56:00,12.75,15018.0,United Kingdom
142173,548557,22132,RED LOVE HEART SHAPE CUP,12,2011-04-01 09:56:00,0.85,15018.0,United Kingdom
142174,548557,21240,BLUE POLKADOT CUP,8,2011-04-01 09:56:00,0.85,15018.0,United Kingdom
142175,548557,21245,GREEN POLKADOT PLATE ,8,2011-04-01 09:56:00,1.69,15018.0,United Kingdom
142176,548557,21243,PINK  POLKADOT PLATE ,8,2011-04-01 09:56:00,1.69,15018.0,United Kingdom
142177,548557,20675,BLUE POLKADOT BOWL,8,2011-04-01 09:56:00,1.25,15018.0,United Kingdom
142178,548557,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-04-01 09:56:00,1.25,15018.0,United Kingdom
142179,548557,84816,DANISH ROSE BEDSIDE CABINET,1,2011-04-01 09:56:00,39.95,15018.0,United Kingdom
142180,548558,22231,JIGSAW TREE WITH BIRDHOUSE,12,2011-04-01 10:05:00,1.45,13626.0,United Kingdom
142181,548558,22230,JIGSAW TREE WITH WATERING CAN,12,2011-04-01 10:05:00,0.85,13626.0,United Kingdom
142182,548558,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,6,2011-04-01 10:05:00,2.95,13626.0,United Kingdom
142183,548558,22241,GARLAND WOODEN HAPPY EASTER,12,2011-04-01 10:05:00,1.25,13626.0,United Kingdom
142184,548558,20749,ASSORTED COLOUR MINI CASES,2,2011-04-01 10:05:00,7.95,13626.0,United Kingdom
142185,548558,21986,PACK OF 12 PINK POLKADOT TISSUES,24,2011-04-01 10:05:00,0.29,13626.0,United Kingdom
142186,548558,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,2011-04-01 10:05:00,0.29,13626.0,United Kingdom
142187,548558,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2011-04-01 10:05:00,0.29,13626.0,United Kingdom
142188,548558,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,2011-04-01 10:05:00,1.65,13626.0,United Kingdom
142189,548558,22961,JAM MAKING SET PRINTED,12,2011-04-01 10:05:00,1.45,13626.0,United Kingdom
142190,548558,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2011-04-01 10:05:00,4.25,13626.0,United Kingdom
142191,548558,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2011-04-01 10:05:00,3.75,13626.0,United Kingdom
142192,548558,21992,VINTAGE PAISLEY STATIONERY SET,6,2011-04-01 10:05:00,2.95,13626.0,United Kingdom
142193,548558,85015,SET OF 12  VINTAGE POSTCARD SET,6,2011-04-01 10:05:00,2.55,13626.0,United Kingdom
142194,548558,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-04-01 10:05:00,0.85,13626.0,United Kingdom
142195,548558,22524,CHILDRENS GARDEN GLOVES BLUE,10,2011-04-01 10:05:00,1.25,13626.0,United Kingdom
142196,548558,22520,CHILDS GARDEN TROWEL BLUE ,12,2011-04-01 10:05:00,0.85,13626.0,United Kingdom
142197,548558,22522,CHILDS GARDEN FORK BLUE ,12,2011-04-01 10:05:00,0.85,13626.0,United Kingdom
142198,548558,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-04-01 10:05:00,4.95,13626.0,United Kingdom
142199,548559,22848,BREAD BIN DINER STYLE PINK,2,2011-04-01 10:08:00,16.95,16214.0,United Kingdom
142200,548559,22699,ROSES REGENCY TEACUP AND SAUCER ,8,2011-04-01 10:08:00,2.95,16214.0,United Kingdom
142201,548559,22698,PINK REGENCY TEACUP AND SAUCER,8,2011-04-01 10:08:00,2.95,16214.0,United Kingdom
142202,548559,22697,GREEN REGENCY TEACUP AND SAUCER,8,2011-04-01 10:08:00,2.95,16214.0,United Kingdom
142203,548559,22423,REGENCY CAKESTAND 3 TIER,8,2011-04-01 10:08:00,12.75,16214.0,United Kingdom
142204,548560,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2011-04-01 10:10:00,0.95,13468.0,United Kingdom
142205,548560,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2011-04-01 10:10:00,1.25,13468.0,United Kingdom
142206,548560,84949,SILVER HANGING T-LIGHT HOLDER,36,2011-04-01 10:10:00,1.65,13468.0,United Kingdom
142207,548560,37342,POLKADOT COFFEE CUP & SAUCER PINK,48,2011-04-01 10:10:00,0.79,13468.0,United Kingdom
142208,548560,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-04-01 10:10:00,2.55,13468.0,United Kingdom
142209,548560,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2011-04-01 10:10:00,0.85,13468.0,United Kingdom
142210,548560,21533,RETROSPOT LARGE MILK JUG,6,2011-04-01 10:10:00,4.95,13468.0,United Kingdom
142211,548560,21535,RED RETROSPOT SMALL MILK JUG,6,2011-04-01 10:10:00,2.55,13468.0,United Kingdom
