,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
285421,561904,22075,6 RIBBONS ELEGANT CHRISTMAS ,96,2011-08-01 08:30:00,1.45,17941.0,United Kingdom
285422,561904,85049E,SCANDINAVIAN REDS RIBBONS,156,2011-08-01 08:30:00,1.06,17941.0,United Kingdom
285423,561905,21385,IVORY HANGING DECORATION  HEART,24,2011-08-01 09:31:00,0.85,14947.0,United Kingdom
285424,561905,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-08-01 09:31:00,0.95,14947.0,United Kingdom
285425,561905,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,2011-08-01 09:31:00,0.85,14947.0,United Kingdom
285426,561905,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-08-01 09:31:00,1.25,14947.0,United Kingdom
285427,561905,21754,HOME BUILDING BLOCK WORD,3,2011-08-01 09:31:00,5.95,14947.0,United Kingdom
285428,561905,23226,FILIGREE HEART DAISY WHITE,24,2011-08-01 09:31:00,1.25,14947.0,United Kingdom
285429,561905,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8,2011-08-01 09:31:00,2.55,14947.0,United Kingdom
285430,561905,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2011-08-01 09:31:00,2.55,14947.0,United Kingdom
285431,561905,21746,SMALL RED RETROSPOT WINDMILL,12,2011-08-01 09:31:00,1.25,14947.0,United Kingdom
285432,561905,21755,LOVE BUILDING BLOCK WORD,3,2011-08-01 09:31:00,5.95,14947.0,United Kingdom
285433,561906,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-08-01 10:03:00,1.95,12921.0,United Kingdom
285434,561906,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-08-01 10:03:00,2.95,12921.0,United Kingdom
285435,561906,21240,BLUE POLKADOT CUP,16,2011-08-01 10:03:00,0.85,12921.0,United Kingdom
285436,561906,20725,LUNCH BAG RED RETROSPOT,20,2011-08-01 10:03:00,1.65,12921.0,United Kingdom
285437,561906,20726,LUNCH BAG WOODLAND,20,2011-08-01 10:03:00,1.65,12921.0,United Kingdom
285438,561906,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-08-01 10:03:00,1.65,12921.0,United Kingdom
285439,561906,22629,SPACEBOY LUNCH BOX ,12,2011-08-01 10:03:00,1.95,12921.0,United Kingdom
285440,561906,22384,LUNCH BAG PINK POLKADOT,20,2011-08-01 10:03:00,1.65,12921.0,United Kingdom
285441,561906,23206,LUNCH BAG APPLE DESIGN,20,2011-08-01 10:03:00,1.65,12921.0,United Kingdom
285442,561906,23209,LUNCH BAG DOILEY PATTERN ,20,2011-08-01 10:03:00,1.65,12921.0,United Kingdom
285443,561906,22898,CHILDRENS APRON APPLES DESIGN,8,2011-08-01 10:03:00,1.95,12921.0,United Kingdom
285444,561906,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,2011-08-01 10:03:00,3.25,12921.0,United Kingdom
285445,561906,21217,RED RETROSPOT ROUND CAKE TINS,6,2011-08-01 10:03:00,9.95,12921.0,United Kingdom
